251
0 8
c2314 0 3612.91
c2315 0 3368.2
c2320 0 3545.13
c2321 0 3400.85
c2323 0 3391.1
c2324 0 3916.13
c2325 0 3875.8
c2327 0 2907.98
c2330 0 3245.46
c2332 0 3267.44
c2333 0 3997
c2334 0 3404.4
c2336 0 3375.82
c2340 0 3764.83
c2341 0 3749.68
c2343 0 3679.26
c2344 0 3427.43
c2346 0 3591.96
c2350 0 2952.92
c2351 0 3614.14
c2353 0 3323.21
c2354 0 3870
c2355 0 2860.39
c2356 0 3273.36
c2360 0 3919.67
c2363 0 3428.56
c2364 0 3994
c2366 0 3227.95
c2367 0 3108.49
c2368 0 3499.57
c2372 0 3380.86
c2373 0 3997
c2374 0 3997
c2379 0 3752.95
c2381 0 3869.87
c2384 0 3281.2
c2385 0 3459.17
c2386 0 3792.25
c2391 0 3994
c2395 0 3994
c2396 0 3627.96
c2398 0 3997
c2399 0 3529.19
c2400 0 3994
c2402 0 3994
c2408 0 0
c2412 0 658.299
c2413 0 469.429
c2414 0 0
c2415 0 0
c2416 0 1.651
c2417 0 578.833
c2418 0 1.099
c2419 0 575.517
c2422 0 787.333
c2423 0 0
c2424 0 210.909
c2427 0 355.502
c2428 0 0
c2430 0 409.803
c2431 0 190.14
c2432 0 781.908
c2433 0 130.05
c2435 0 496.749
c2436 0 0
c2438 0 572.144
c2441 0 83.337
c2444 0 0
c2447 0 661.48
c2451 0 923.201
c2453 0 419.678
c2457 0 618.087
c2458 0 0
c2459 0 256.865
c2462 0 0
c2467 0 0
c2468 0 204.124
c2471 0 178.819
c2478 0 0
c2480 0 586.15
c2484 0 309.168
c2489 0 143.753
c2490 0 0
c2491 0 1244.55
c2492 0 920.989
c2496 0 404.496
c2500 0 658.89
c2501 0 0
c2505 0 1026.57
c2506 0 622.175
c2507 0 129.376
c2508 0 834.507
c2510 0 1332.74
c2511 0 0
c2516 0 811.969
c2518 0 586.271
c2519 0 1210.5
c2521 0 890.359
c2523 0 525.784
c2525 0 1029.37
c2527 0 799.84
c2528 0 1005.95
c2530 0 1081.28
c2532 0 673.142
c2536 0 430.818
c2537 0 468.634
c2539 0 664.98
c2541 0 545.144
c2542 0 1140.19
c2547 0 394.569
c2549 0 1369.24
c2550 0 894.997
c2551 0 615.528
c2554 0 936.936
c2555 0 696.235
c2557 0 522.928
c2558 0 613.436
c2559 0 903.113
c2561 0 710.864
c2562 0 819.335
c2564 0 1457.46
c2566 0 714.734
c2571 0 809.305
c2574 0 865.371
c2577 0 1508.16
c2578 0 448.456
c2579 0 1235.65
c2581 0 1290.35
c2582 0 509.038
c2583 0 1193.01
c2586 0 598.613
c2591 0 1036.56
c2593 0 538.346
c2595 0 915.276
c2599 0 1055.51
c2600 0 901.062
c2601 0 1406.91
c2603 0 797.695
c2604 0 1048.1
c2605 0 1239.15
c2606 0 1729.64
c2611 0 1541.42
c2612 0 1159.03
c2613 0 1568.19
c2614 0 898.311
c2615 0 1173.52
c2617 0 1094.17
c2623 0 1939.85
c2624 0 1241.52
c2626 0 1560.24
c2631 0 718.514
c2632 0 1745.1
c2635 0 1175.27
c2637 0 1391.19
c2640 0 1698.64
c2643 0 643.769
c2644 0 1337.83
c2646 0 1170.52
c2647 0 1123.67
c2648 0 1316.24
c2649 0 1263.74
c2650 0 1706.82
c2653 0 2080.95
c2659 0 2098.72
c2662 0 2068.06
c2666 0 1248.57
c2667 0 1668.44
c2675 0 2102.47
c2678 0 1884.54
c2680 0 1910.69
c2681 0 1763.44
c2683 0 1634.2
c2684 0 1580.1
c2686 0 1337.12
c2688 0 1559.46
c2690 0 1847.53
c2692 0 1848.73
c2695 0 1749.25
c2696 0 1497.31
c2698 0 1941
c2704 0 2415.58
c2707 0 1872.39
c2711 0 2051.79
c2712 0 1792.66
c2713 0 1565.83
c2717 0 2084.19
c2718 0 1795.48
c2719 0 2062.1
c2722 0 1611.48
c2723 0 901.01
c2724 0 1546.31
c2726 0 1707.04
c2728 0 1714.59
